,address,eth_balance_usd,usdc_balance_usd,usdt_balance_usd,wbtc_balance_usd,weth_balance_usd,dai_balance_usd,shib_balance_usd,pepe_balance_usd,user_received_eth,user_sent_eth,max_received_eth,max_sent_eth,user_net_flow_eth_log_abs_norm,eth_balance_usd_norm,usdc_balance_usd_norm,usdt_balance_usd_norm,wbtc_balance_usd_norm,weth_balance_usd_norm,dai_balance_usd_norm,shib_balance_usd_norm,pepe_balance_usd_norm,user_received_eth_norm,user_sent_eth_norm,max_received_eth_norm,max_sent_eth_norm,whale_score,n_chains_with_asset,total_assets_usd,usdc_balance_ratio,usdt_balance_ratio,weth_balance_ratio,wbtc_balance_ratio,eth_balance_ratio,dai_balance_ratio,stable_token_ratio,meme_token_ratio,erc20_token_ratio,native_token_ratio,n_chains_with_activity,wbtc_positive_inflow_months,weth_positive_inflow_months
0,0x00648a1370d98b6f45f4ed19dcc68bf36941a62c,89.981,3.7302999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.62,0.02,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93.7113,0.04,0.0,0.0,0.0,0.96,0.0,0.04,0.0,0.0,0.96,2,1,0
1,0x0acefa6b0313b012ffb7fb833398005e384485e2,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.94,126.65,5.65,11.53,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0,0.022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,0
2,0x0cbe5561012c92564a21b484afee8f3d68eb2db5,58237.8122,0.012,1218.5653,0.0,138.4418,42.4096,0.0,0.0,115.75,1149.07,100.0,250.0,0.61,0.96,0.0,0.0,0.0,0.01,0.12,0.0,0.0,0.0,0.04,0.03,0.02,17.45,1,59637.2409,0.0,0.02,0.0,0.0,0.98,0.0,0.02,0.0,0.0,0.98,2,0,2
3,0x1107f797c1af4982b038eb91260b3f9a90eecee9,157.1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,157.1986,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,13,0
4,0x146c624b5cefb6488bfe1a9919e74fc2558243e3,86.96690000000001,1998.8982,0.0001,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,2085.8652,0.96,0.0,0.0,0.0,0.04,0.0,0.96,0.0,0.0,0.04,2,2,0
5,0x15e096009b6609e7da6136a486e3cb1f6a57635c,60.9932,0.0,1633.3453999999997,0.0,0.0,0.0,0.0,0.0,2.7,5.23,1.7,1.75,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,1694.3385999999996,0.0,0.96,0.0,0.0,0.04,0.0,0.96,0.0,0.0,0.04,1,0,0
6,0x171c53d55b1bcb725f660677d9e8bad7fd084282,5756.4116,0.1032,0.0,116.4305,0.0,0.0139,0.0,0.0,23358.13,30300.04,2963.43,2964.0,0.86,0.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.0,0.98,1.0,0.19,25.55,1,5872.9592,0.0,0.0,0.0,0.02,0.98,0.0,0.0,0.0,0.02,0.98,2,3,12
7,0x1789c92118cdc5297b9b8ba75a5502b1de2bf0d7,68.6897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.8,210.76,45.8,45.68,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,4.4,0,68.6897,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
8,0x1de63b3271a85dda669f4b8db626ea62c69fd576,0.0692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.27,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0692,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
9,0x265b54e8306bedc9ad22ea508231582c73b8093e,1028.6994,0.0,0.0,0.0,0.0,0.2898,0.0,0.0,0.0,155.42,0.0,60.0,0.41,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,4.35,0,1028.9892,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,4
10,0x29f82d09c2afd12f3c10ee49cd713331f4a7228e,3275.1699000000003,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,7.95,115.38,4.85,14.96,0.45,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,3275.1703,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,6,1
11,0x2daefcb5014b21816f32cc8f5073609694f36446,122.46889999999999,1.4341,6.002,0.0,0.0,0.0,0.0,0.0,1.11,2.16,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,129.905,0.01,0.05,0.0,0.0,0.94,0.0,0.06,0.0,0.0,0.94,2,0,0
12,0x36bbd64e71856201791bab3e4e782662ff31e013,145.0984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,145.0984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
13,0x3d10ed16c911cd22d100cbc00165c918a2df66bc,60528.46310000001,0.0,2393169.6113,2289.5388,0.0,0.0,0.0,0.0,0.0,2686.33,0.0,1333.0,0.76,1.0,0.0,1.0,0.11,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,29.6,1,2455987.6132,0.0,0.97,0.0,0.0,0.02,0.0,0.97,0.0,0.0,0.02,1,11,3
14,0x42e6300d8d5c1531996b8d567528147761c76d39,1118.7424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.38,0.0,58.0,0.62,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,6.5,1,1118.7424,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,3,3
15,0x4713253a106008f12dca2da55422614aea4bb036,288.63210000000004,6.8518,15.800099999999999,0.0,0.0001,0.0,0.0,0.0,0.1,0.19,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,311.2841,0.02,0.05,0.0,0.0,0.93,0.0,0.07,0.0,0.0,0.93,3,0,0
16,0x4736199d7db7aaa5f1fae8f946234522534f6946,14.9228,1404.5699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.54,0.0,9.53,0.23,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,1,1419.4927,0.99,0.0,0.0,0.0,0.01,0.0,0.99,0.0,0.0,0.01,2,0,1
17,0x47dacc0d2e4a25b08a84713707f52bcbc96c63ad,3431.9554000000003,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.09,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,3431.9569,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5,0
18,0x485c07c5516315881c732c90122ba4de3f356180,5044.8359,0.0,0.0,0.0,18973.2394,0.0,0.0,0.0,820.0,4939.78,640.0,853.0,0.74,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.16,0.22,0.05,20.55,2,24018.075299999997,0.0,0.0,0.79,0.0,0.21,0.0,0.0,0.0,0.79,0.21,3,2,5
19,0x4c435b24002f4961956beb276b0eda776521ab53,44.4976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,35.0,1.98,33.02,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0,44.4976,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1
20,0x56512bdee5c6e8834c01be273a43391069e4a1a3,0.0644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.38,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
21,0x6121654d3fd4c8b42a90d30472e4d40927c3e6bb,53.998999999999995,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.08,4.3,0.04,0.56,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0,53.999199999999995,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,0,3
22,0x636bbf93b4058c086f0b136808638acb72480ba6,376.1481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,376.1481,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
23,0x6e5e1be8064a8b3594b4ad70f6209f856ff14c77,39.7402,0.0,12470.5598,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,12510.300000000001,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0
24,0x74f714877f2db1028c43642d0b8b7cbfa7650ab8,72.2996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.49,74.58,1.5,15.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,72.2996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0,1
25,0x780f32fe419d276786a7ffe1fbb0d0cdb1865ccc,6688.613299999999,0.002,4.8031,20201.6423,0.0,0.0,0.0,0.0,57.1,173.94,56.0,56.0,0.4,0.11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,15.25,2,26895.0607,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.75,0.25,2,7,0
26,0x7988435dee17431315b0c323d7fcc34642f1778d,314.2775,0.8331000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.12,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,315.1106,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
27,0x7f91d4efa03238a13c6d71ee178551ae215faf9a,70.00750000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,49.71,30.0,30.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,2.85,0,70.00750000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,1
28,0x8f95c82cc6e172b81fe2f0f973c5d22d6739a2ce,461.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83,29.29,3.04,3.9,0.24,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0,461.926,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0,2
29,0x905f4acea5f1b6ae4ca4cb39c9f1193d821d7980,226.5609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42,12.78,3.63,3.62,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0,226.5609,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,1
30,0x9369b20638c85932f358c687ff6dd97a9d4d6312,0.4493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4493,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,4,0
31,0x94e9b0ef57cd5c0e66d363786819fdd3e7cbfc4f,645.2173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,229.67,2.0,27.0,0.52,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,5.35,0,645.2173,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5,2
32,0x9ae6254d539264ddad77e88144041a1e0759a951,366.9919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,366.9919,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
33,0x9b3f406e1930299404fe45f0b6afd7640b81564b,23.9097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.9097,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0
34,0x9c54a0cba7aeb5d84020b02bdc8c3ae5ff65dd8e,3255.5776,0.0,0.0,0.0,0.6746,0.0,0.0,0.0,0.8,21.19,0.4,3.5,0.24,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1,3256.2522,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,0,5
35,0x9dc4aead7c21c65e54a1088f0d8818edc35217b6,29.8164,3.5377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33.3541,0.11,0.0,0.0,0.0,0.89,0.0,0.11,0.0,0.0,0.89,1,0,0
36,0x9fcb434a00484b07f7059ff64365a1e81b36bfe0,130.1868,0.0,20681.7123,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.05,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,20811.8991,0.0,0.99,0.0,0.0,0.01,0.0,0.99,0.0,0.0,0.01,1,3,0
37,0xa62315902faadc69f898cc8b85f86ffd1f6aaed8,671.2475000000001,2496.7628,0.7581,0.0,286.1967,356.4484,0.0,0.0,365.75,2456.37,242.7,500.0,0.69,0.01,1.0,0.0,0.0,0.02,1.0,0.0,0.0,0.02,0.08,0.08,0.03,28.25,1,3811.4134999999997,0.66,0.0,0.08,0.0,0.18,0.09,0.75,0.0,0.08,0.18,1,13,1
38,0xaf855f1d3c0a9df040bbc4ec87bf79280437277f,1628.4337,230.04930000000002,0.0,0.0,0.0,0.0,0.0,0.0,6.47,9.95,2.16,1.77,0.1,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,1858.4830000000002,0.12,0.0,0.0,0.0,0.88,0.0,0.12,0.0,0.0,0.88,1,0,0
39,0xb7a59f88067d9d3bbeefdcc8649de63128af5463,2572.935,0.0915,0.0,0.0,0.2366,0.0,0.0,0.0,0.4,9.74,0.26,1.35,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1,2573.2631,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,2,0
40,0xc03957d3e08e7fc43b447cbbe5dec75c07404739,1020.6983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.27,1203.83,352.04,352.02,0.57,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.12,0.02,6.9,0,1020.6983,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0,0
41,0xcb4a7b790edb7fa3e2731efd7ed85275f92fc74a,215.54039999999998,3.17,0.0,6906.430799999999,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1,7125.141199999999,0.0,0.0,0.0,0.97,0.03,0.0,0.0,0.0,0.97,0.03,1,2,0
