address,whale_score,active_score,lending_ratio,lending_focus
0x00648a1370d98b6f45f4ed19dcc68bf36941a62c,0.0,32.8,0.27,1.0
0x0acefa6b0313b012ffb7fb833398005e384485e2,8.95,52.2,0.22,1.0
0x13923f2fed93b8f9dce0c7b2fd12831d457a10a6,0.0,40.6,0.2,0.38
0x146c624b5cefb6488bfe1a9919e74fc2558243e3,0.0,64.1,0.28,0.79
0x154419d9a2c57fb60e80cc83fb2180e7e33637e0,0.0,44.1,0.16,0.7
0x1e2ac461edc05bdc7b471cf93aeceec91f32ed29,10.5,47.5,0.56,0.84
0x31eadec696fe6657f795229691c491609c8b49a2,2.2,28.5,0.7,1.0
0x37fd3c367c5d03640b177fcbd7afe18d805dd10e,5.5,42.0,0.16,1.0
0x3d10ed16c911cd22d100cbc00165c918a2df66bc,35.1,43.6,0.15,1.0
0x40beca748d42d122ff92d7daf87f1caae0532b69,5.7,38.5,0.06,0.5
0x42e6300d8d5c1531996b8d567528147761c76d39,7.7,54.0,0.37,0.56
0x4dac5d1f8ffbdc32d1f9c133327dc611ae7871b9,0.0,36.9,0.63,1.0
0x52a3cdf2ef6b17e6ffdaceb38ef30a8c42e6a366,3.1,44.8,0.21,1.0
0x530745ea1c8ed573cd465f88bf62beb18d5c7668,0.0,39.1,0.57,0.65
0x5e0ef3ff9c681a42319ca2d33ba3f3eb4d79cf15,3.3,47.0,0.37,0.48
0x602f2e120a9956f2ad1ce47ced286fcefbba9f8c,29.2,35.5,0.01,1.0
0x764897268325efc9bfab5368a54ab1b45151230f,2.8,65.0,0.01,0.56
0x77b537363aab683cfda7f8933b1e6af8aa436614,0.0,33.4,0.3,0.51
0x780f32fe419d276786a7ffe1fbb0d0cdb1865ccc,16.8,60.6,0.22,0.52
0x79473c5a7f8b214dd5509073490527aa5e535d0a,1.0,30.1,0.21,0.59
0x79720266dec914247424aeb0f06b8fa5b3ec073e,28.2,70.8,0.1,0.49
0x7aa50cb10a59dc1d5be57b3a4010d253811d0ea2,0.0,40.6,0.18,1.0
0x8b69fa880f2e88438ff9317c09c1b4dbc0f1c804,2.8,28.5,0.3,0.56
0x8c6e26476b77193c9353a633febb80f0441c1b03,0.0,53.6,0.02,1.0
0x95008ace75ddaef287002cb840c1cc0d133e7418,0.0,25.5,0.25,1.0
0xcb4a7b790edb7fa3e2731efd7ed85275f92fc74a,0.9,45.7,0.13,0.54
0xd413dcf1b80e10a8ba7cab329da7545ccc827319,10.0,38.7,0.34,1.0
0xe73bea5d3926100512a2bbb41a55f34967c27d91,6.0,37.3,0.21,0.8
0xe75b05cf7f73c2808c711d38488cc8e0186d259e,27.85,39.0,0.1,0.68
0xf81473bebfe1ce6696441984dcd0292f8f1091a1,0.0,34.2,0.55,1.0
